ST-CD	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANNUAL
AL-01	1895	7.36	1.46	7.07	3.18	3.1	3.59	5.42	4.03	3.17	1.94	1.89	5.39	47.6
AL-01	1896	2.59	7.28	6.02	4.1	3.27	3.92	4.13	1.91	2.65	1.51	5.72	1.43	44.53
AL-01	1897	4.03	3.77	14.77	4.84	3.01	1.6	4	3.03	0.1	1.72	2.54	7.99	51.4
AL-01	1898	7.05	1.39	4.24	3.91	1.8	2.47	5.98	3.75	3.01	4.08	3.37	2.46	43.5
AL-01	1899	6.08	5.94	9.13	2.87	1.6	2.37	5.19	2.91	0.58	1.97	3.57	7.15	49.36
AL-01	1900	3.57	4.66	3.91	9	3.61	11.35	4.6	2.43	2.55	6.09	3.7	3.03	58.49
AL-01	1901	5.4	2.51	5.12	4.54	3.7	3.12	1.91	10.19	5.74	1.09	1.78	6.25	51.34
AL-01	1902	4.93	3.52	7.78	2.48	1.53	2.67	2.22	3.17	4.3	2.37	5.42	5.93	46.32
AL-01	1903	4	9.46	5.23	3.4	5.93	4.85	3.84	3.31	0.66	2.15	3.54	3.27	49.63
AL-01	1904	3.02	1.48	6.71	3	3.61	3.07	4.68	3	1.91	0.59	3.2	5.77	40.04
AL-01	1905	4.51	6.27	4.14	3.61	5.16	6.37	3.34	4.71	3.11	5.97	1.29	5.24	53.74
AL-01	1906	4.92	1.39	6.64	1.48	3.64	2.91	8.34	3.31	7.38	3.95	3.59	4.5	52.04
AL-01	1907	2.09	4.69	4.14	4.39	7.65	3.31	4.58	2.7	4.79	1.88	4.75	4.15	49.1
AL-01	1908	4.22	6.17	5.09	4.95	5.67	3.71	3.6	3.63	2.63	0.96	1.73	6.13	48.48
AL-01	1909	3.04	8.46	6.18	5.59	5.99	6.59	4.17	2.13	3.17	2.63	1.66	4.49	54.09
AL-01	1910	4.23	5.01	0.85	3.26	5.43	6.38	6.82	1.92	2.25	3.64	1.56	3.94	45.28
AL-01	1911	4.86	5.27	2.55	10.62	2.31	3.88	6.22	5.83	2.15	3.7	3.7	10.76	61.86
AL-01	1912	4.23	4.18	9.36	9.21	4.73	3.88	5.7	5.69	3.4	1.85	1.37	6.89	60.5
AL-01	1913	8.91	5.55	5.96	2.4	3.95	3.72	2.95	2.46	4.22	2.45	1.25	2.89	46.71
AL-01	1914	1.82	4.1	4.18	4.05	1.83	2.41	3.26	5.23	2.11	2.63	2.44	7.33	41.38
AL-01	1915	5.34	4.07	3.04	0.84	4.22	2.53	4.81	6.64	3.36	3.35	5.94	6.29	50.44
AL-01	1916	6.12	3.14	2.73	2.88	4.9	4.76	11.53	3.35	1.11	1.73	2.11	5.65	50
AL-01	1917	6.49	4.33	9.4	4.48	3.4	4.52	5.97	2.96	3.6	1.96	1.32	1.54	49.98
AL-01	1918	6.86	2.28	1.14	6.61	3.61	4.31	3.32	1.75	3.43	7.48	3.42	4.12	48.34
AL-01	1919	5.01	3.72	8.58	2.92	6.46	4.84	3.19	6.86	0.72	7.68	6.33	3.94	60.25
AL-01	1920	5.72	3.41	7.48	10.66	5.95	4.87	4.29	6.27	2.71	0.52	3.02	5.59	60.48
AL-01	1921	3.29	6.14	4.56	6.33	1.89	2.73	4.49	5.32	4	2.53	4.42	2.73	48.44
AL-01	1922	6.01	5	10.77	5.89	5.64	3.71	3.75	2.95	1.06	1.31	1.99	8.49	56.58
AL-01	1923	5.48	5.51	6.74	6.27	7.47	3.35	4.22	6.89	1.64	2.08	4.58	6.99	61.21
AL-01	1924	6.17	5.03	4.25	6.42	6.15	4.28	1.94	2.99	2.64	0.03	0.55	6.2	46.66
AL-01	1925	5.53	3.43	2.73	2.45	1.88	2.05	3.86	1.98	2.35	7.59	5.02	2.75	41.61
AL-01	1926	4.49	2.76	3.8	1.94	3.39	4.66	2.82	6.88	1.17	3.09	5.46	12	52.46
AL-01	1927	3.46	4.36	7.05	5.79	4.53	5.11	2.96	2.95	1.01	2.36	5.36	7	51.92
AL-01	1928	2.62	2.2	5.87	8.1	4.13	9.36	3.87	5.11	1.53	4.74	3.93	1.43	52.9
AL-01	1929	5.96	4.96	10.15	5.77	6.58	3.69	3.19	1.41	6.09	4.43	7.93	3.23	63.39
AL-01	1930	3.13	3.75	5.17	0.97	7.05	1.29	2.41	2.58	3.48	2.33	5.1	3.06	40.32
AL-01	1931	2.47	4.46	4.35	2.68	3.07	1.41	4.5	4.3	0.77	2.1	3.71	10.79	44.62
AL-01	1932	8.32	7.17	4.41	5.48	2.06	4.68	5.93	4.97	4.21	8.45	3.26	9.03	67.97
AL-01	1933	2.79	6.83	5.93	4.22	6.11	1.6	5.25	3.26	2.37	1.37	2.26	4.26	46.25
AL-01	1934	3.48	3.14	7.87	2.58	2.88	5.8	4.83	4.25	3.94	2.91	3.8	3.49	48.98
AL-01	1935	4.43	4.25	7.9	4.52	5.32	3.64	1.89	2.19	1.62	4.56	5.41	2.38	48.11
AL-01	1936	5.83	4.25	6.4	6.83	1.1	1.4	8.16	2.49	3.24	4.27	2.68	6.02	52.68
AL-01	1937	11.5	3.91	2.81	5.76	4.06	2.8	3.76	4.45	3.14	5.66	1.89	3.49	53.24
AL-01	1938	4.79	1.31	6.93	6.35	4.43	5.32	6.01	4.95	1	0.33	5.3	2.21	48.94
AL-01	1939	6.47	12.63	5.63	4.82	5.2	7.76	3.59	3.2	2.55	0.79	1.24	3.09	56.97
AL-01	1940	2.86	5.92	5.62	4.35	2.74	3.67	7.3	3.63	0.98	2.15	4.74	4.01	47.98
AL-01	1941	3.72	1.23	3.32	3.22	0.69	2.76	6.51	3.93	1.16	3.28	2.97	3.77	36.55
AL-01	1942	2.62	4.6	5.11	1.79	1.78	2.6	2.45	5.88	3.02	2.45	1.83	8.64	42.78
AL-01	1943	1.6	2.97	6.37	3	2.94	2.49	2.99	2.03	5.95	0.86	2.1	3.36	36.65
AL-01	1944	2.94	9.86	9.5	5.18	2.9	2.1	2.8	4.45	3.52	0.68	2.5	6.99	53.41
AL-01	1945	4.31	9.06	5.53	5	3.26	3.86	2.75	3.55	2.38	2.16	6.09	5.15	53.11
AL-01	1946	9.98	8.83	5.19	3.9	6.06	3.89	5.73	3.14	5.7	2.15	6.2	3.67	64.43
AL-01	1947	9.63	2.14	4.53	4.95	3.59	4.14	2.43	3.41	1.67	2.01	5.75	2.96	47.21
AL-01	1948	3.67	10.95	8.59	3.15	3.81	3.07	4.92	1.6	3.62	1.1	12.35	4.42	61.25
AL-01	1949	12.44	4.28	5.82	3.39	3.92	6.99	4.68	3.88	3.46	4.28	0.96	4.2	58.3
AL-01	1950	11.66	7.22	7.93	2.77	4.12	4.06	7.33	7.36	3.41	1.06	4.05	2.57	63.53
AL-01	1951	6.84	5.52	9.4	4.83	0.65	5.22	4.53	1.59	4.26	2.29	5.69	10.78	61.59
AL-01	1952	6.54	3.3	6.37	2.09	3.07	1.54	1.86	6.07	2.67	2.74	3.63	4.09	43.98
AL-01	1953	5.99	8.3	4.35	6.38	4.52	1.49	5.09	0.78	3.39	0.3	0.82	6.29	47.7
AL-01	1954	9.46	3.3	2.14	4.97	3.83	1.68	2.33	1.78	1.2	2.1	3.12	7.19	43.1
AL-01	1955	2.96	6.93	7.87	5.17	5.36	2.27	5.19	1.92	0.68	2.27	3.2	3.01	46.84
AL-01	1956	2.91	9.09	3.6	7.6	2.86	4.01	3.49	3.45	1.83	3.21	1.93	7.5	51.49
AL-01	1957	8.23	6.31	2.99	3.41	3.34	4.55	2.52	2.26	6.21	3.26	11.4	4.46	58.93
AL-01	1958	2.57	3.77	3.19	7.79	3.84	3.41	8.91	2.58	5.38	0.81	4.08	0.84	47.17
AL-01	1959	4.5	3.68	4.03	4.75	5.3	3.57	3.74	4.22	2.88	4.46	3.37	6.67	51.19
AL-01	1960	5.5	3.29	7	2.07	3.54	3.63	2.72	5.25	5.45	4.74	3.56	2.97	49.73
AL-01	1961	2.39	7.59	8.34	2.73	4.44	5.28	3.19	3.55	1.96	1.79	5.36	11.15	57.76
AL-01	1962	8.5	7.76	5.25	6.15	1.79	4.06	3.18	1.82	4.06	2.45	4.21	2.99	52.22
AL-01	1963	3.15	2.52	8.82	6.41	4.32	4.63	5.38	1.82	1.04	0.07	4.24	4.56	46.95
AL-01	1964	6.06	4.43	10.29	10.41	2.6	2.12	5.78	3.88	4.47	3.77	4.22	4.72	62.76
AL-01	1965	3.44	5.7	8.78	4.06	2.12	5.21	5.17	3.98	2.96	1.23	1.25	1.2	45.1
AL-01	1966	5.43	5.21	2.23	4.26	6.25	2.18	4.16	4.76	5.3	2.68	2.44	5.41	50.32
AL-01	1967	2.18	4.49	1.95	4.09	7.99	3.9	9.03	6.65	2.66	3.07	4.43	9.41	59.84
AL-01	1968	6.52	1.36	5.77	4.51	6.1	1.24	4.19	2.79	4.22	2.14	3.68	4.81	47.32
AL-01	1969	5.33	6.56	3.31	7.11	5.34	3.26	4.67	3.79	3.78	3.58	3.24	9.72	59.7
AL-01	1970	2.26	3.25	6.47	9.82	3.47	4.55	3.22	3.53	2.5	5.8	2.38	4.15	51.4
AL-01	1971	5.71	8.51	5.48	3.8	3.76	2.9	5.98	3.71	4.29	1.76	2.05	8.03	55.98
AL-01	1972	7.62	2.73	5.53	3.5	4.09	3.45	6.37	2.38	5.49	3.59	5.08	7.32	57.15
AL-01	1973	6.39	4.81	14.47	5.46	5.66	4.89	5.74	2.15	2.45	3.23	7.39	6.82	69.45
